file,pack_id,c_rate,module_idx,capacity_ah,module_soh,label_source,cutoff_v,template_module
pk2-enyaq-23072021-FFCT-0.95C 202605221145 Characterisation Test (1).csv,pk2,0.95,8,143.73538129456867,92.1380649324158,extrapolated_self,2.201,6.0
pk2-enyaq-23072021-FFCT-0.95C 202605221145 Characterisation Test (1).csv,pk2,0.95,9,144.17775936849577,92.42164062083063,extrapolated_self,2.201,6.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,1,151.81759431264706,97.3189707132353,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,2,151.18954682690193,96.91637617109097,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,3,148.479384,95.17909230769231,measured,2.323,
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,4,151.32553109002143,97.00354557052655,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,5,150.63525993710175,96.56106406224471,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,6,151.304664710127,96.99016968597886,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,7,148.492649,95.18759551282051,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,8,151.44519582864467,97.08025373631068,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,9,151.06740280060123,96.83807871833412,extrapolated_self,2.323,3.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,1,148.16862104306165,94.97988528401387,extrapolated_self,2.193,7.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,2,147.60418132166936,94.61806494978805,extrapolated_self,2.193,7.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,3,143.1845714112635,91.78498167388686,extrapolated_self,2.193,7.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,4,147.9050246953573,94.81091326625469,extrapolated_self,2.193,7.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,5,145.9666570835737,93.56836992536776,extrapolated_self,2.193,7.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,6,147.91739286685157,94.8188415813151,extrapolated_self,2.193,7.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,7,143.001374,91.66754743589743,measured,2.193,
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,8,147.44614244537908,94.5167579778071,extrapolated_self,2.193,7.0
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,9,146.59193701411502,93.96919039366347,extrapolated_self,2.193,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,1,146.85952548321765,94.14072146360107,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,2,150.91010138803742,96.73724447951116,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,3,151.1078797919418,96.864025507655,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,4,149.0199043008528,95.52557968003384,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,5,150.15360930660873,96.25231365808253,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,6,150.62323990892216,96.55335891597574,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,7,145.817996,93.47307435897434,measured,2.298,
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,8,151.5901365561614,97.17316445907784,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,9,150.65370846389416,96.57289004095779,extrapolated_self,2.298,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,1,141.7125835488181,90.84139971078082,extrapolated_self,2.203,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,2,144.4381738025461,92.58857295035006,extrapolated_shape_transfer,2.203,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,3,145.9987230986366,93.58892506322857,extrapolated_self,2.203,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,4,145.97744495017668,93.57528522447222,extrapolated_self,2.203,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,5,145.8837689791856,93.51523652511898,extrapolated_self,2.203,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,6,144.21826565627435,92.44760618991947,extrapolated_shape_transfer,2.203,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,7,138.96111,89.07763461538461,measured,2.203,
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,8,144.5164356141855,92.63874077832403,extrapolated_shape_transfer,2.203,7.0
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,9,144.371166477007,92.54561953654294,extrapolated_shape_transfer,2.203,7.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,1,141.66384189013664,90.8101550577799,extrapolated_self,2.3,6.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,2,143.2609507926712,91.83394281581488,extrapolated_shape_transfer,2.3,6.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,3,143.12967643683703,91.74979258771604,extrapolated_shape_transfer,2.3,6.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,4,138.74532531504545,88.9393110993881,extrapolated_self,2.3,6.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,5,142.44262795424828,91.30937689374889,extrapolated_self,2.3,6.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,6,135.367071,86.77376346153846,measured,2.3,
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,7,136.36438594223998,87.4130679116923,extrapolated_self,2.3,6.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,8,137.74958833121133,88.30101816103291,extrapolated_self,2.3,6.0
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,9,138.6460032640768,88.87564311799795,extrapolated_self,2.3,6.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,1,147.690347087321,94.67329941494935,extrapolated_self,2.219,8.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,2,147.25662430003456,94.39527198720164,extrapolated_self,2.219,8.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,3,147.33931274259692,94.44827739910059,extrapolated_self,2.219,8.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,4,147.52905267053373,94.56990555803443,extrapolated_self,2.219,8.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,5,148.02224192804812,94.88605251797956,extrapolated_self,2.219,8.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,6,145.96461447980303,93.5670605639763,extrapolated_self,2.219,8.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,7,146.78526223077003,94.09311681459617,extrapolated_self,2.219,8.0
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,8,143.934056,92.26542051282051,measured,2.219,
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,pk6,1.0,9,147.62982318664996,94.63450204272434,extrapolated_self,2.219,8.0
